id,stratum,trigger_labels,other_labels_true,lexicon_hit,identity_term_present,p_toxic,p_severe_toxic,p_obscene,p_threat,p_insult,p_identity_hate,text,preread_verdict,preread_reason,human_verdict,human_note,human_changed
7126b0010a7b13e4,lex/none,toxic+obscene,,True,0,0.9999998589830082,0.3974496584254898,0.9999999149850604,0.0498944642040138,0.9833918572382604,0.4018352019823984,fuck u ill do whatever I fucking want boy,toxic,directed profanity,toxic,,False
f4d51c4c28b24503,lex/none,toxic+obscene,,True,0,0.9999995723160392,0.2389724423373456,0.999995931793437,0.0105127204521758,0.9928073159379374,0.5746454459725241,""" 

 ==Suggestions== 

  ([A-Za-z])\1{4,};;-1;;v 

  ([A-Z]){5,};;-1;;v 

  nig+(er|a)[sz]?;;-1;;v 

  (h[aoe])\1{3,};;-1;;v 

  l(o|aw|u)l([zs]|ed)?;;-.5;;v 

  (dic?|coc)k[\-\s]?suc?ker[sz]?;;-3;;v 

  suck;;-.5;;v 

  \s(dic?|coc)k\s;;-1;;v 

  \sass(es)?\s;;-.5;;v 

  rape;;-.5;;v 

  assrape;;-10;;v 

  (\[\^\*\]\]|{{[^}]*}});;+1;;v 

  [A-Z].*[\.\?\""""\!];;+1;;v 

  stupid;;-1;;V 

  fuck ((yo)?u|h(er|im)|them|it);;-50;;v 

  (yo)?u|s?he|we|they|it) sucks?;;-50;;v 

  wanker;;-1;;v 

  fag+(ot)?s?;;-1;;v 

  \scunts?\s;;-1;;v 

  penis;;-1;;v 

  \ssex(ed)?;;-.25;;v 

  \spoo+p(ed|er|s)?\s;;-1;;v 

  \ssluts?\s;;-1;;v 

  \sputas?\s;;-1;;v 

  \sdumbass+(es)?\s;;-2;;v 

  \spuss(ies|y)\s;;-1;;v 

  \s(homos?)+\s;;-1;;v 

  \spimp(ed|s)?\s;;-.5;;v 

  n(oo+|ew)b[sz];;-1;;v 

  damn;;-.5;;v 

  \sga+y+(er|[sz])\s;;-1;;v 

  vagina;;-1;;v 

  whore;;-1;;v 

  \ss+h+i+t+(ed|er|s)?\s;;-1;;v 

  bitch;;-1;;v 

  \sI (l(o|u)ve?|h(ate|8)|li[ek]+|want);;-1;;v 

 

  Hey, can some kind admin add this to the normal page? Thanks.   """,borderline,"regex abuse-filter list, slurs quoted not used",borderline,,False
d9e6b2d19bb2915c,lex/none,toxic+insult,,True,0,0.9999993834182372,0.0105237788450485,0.9941134865712752,0.0003705869458647,0.9999805745845942,0.0047075069119174,""" 
 :I'm an idiot.   """,borderline,self-deprecation,borderline,,False
8009d60f7fde43a9,lex/none,toxic+obscene,,True,0,0.999996975665648,0.2205898818376205,0.9999990791534696,0.0071274998827138,0.7183856417287943,0.0923390093993391,WHO THE FUCK DISCUSSES PILLOWS?,borderline,undirected profanity,borderline,,False
12f16cb4063466f9,lex/none,toxic,,True,0,0.999993905539036,0.0719900614556223,0.980757947735482,0.0366546877060636,0.92699238189698,0.019449458909789,"== Nerd == 

 Materialnerd! Get out of your mother's basement and get a life-leave me the hell alone. I suggest you go suck off Barek Obama bin Laden and Fagreterion.",toxic,personal attack + slur,toxic,,False
65904b5e0662548b,lex/none,toxic,,True,0,0.9999826693063558,0.1806992846707718,0.9979285038289992,0.0022964293828851,0.7946807360388174,0.0366177526082797,And Kraiterman sucks.,toxic,named person 'sucks',toxic,,False
ea8041162ca803d4,nolex/none,toxic,,False,1,0.9999555512617035,0.2815730703003912,0.8857514856299845,0.018259110325457,0.9296597807026395,0.9991908694666108,"== gay == 

 are you gay?",borderline,'are you gay' as jab,clean,Might be just a question,True
6c7f8dfba6bfe40d,lex/none,toxic,,True,0,0.999896794171013,0.0364640402247862,0.9441894119176378,0.0291252380759213,0.9523230402382008,0.0506031616982771,go eat crap losers,toxic,directed insult,toxic,,False
98a2d9c2492f3ca2,lex/none,toxic,,True,0,0.9998740250001338,0.0854654756070927,0.9850062526187666,0.0023763190809674,0.6245522862711687,0.0153308293230595,Gpyjmopehbjtiobhtjrk;shtrjsbhtrvnvuptmvoptmhriovh;tnkl;tjosgibdfjg;herjkla;ghriogahdfjkgn;erklgtlerupagidfoh;vieto;nvklt;hgadfu;fjgf;gdruxghldurilghtudi;gjtk;sgndrhgdfuilhgvuidfngjkt;hgtjrhgsdruihgipdrhgudfphjgorhguodrhguidrhaguorhigkerhagoph  hgfurpehgiorhgio;rehjgiopaerhguioprjgiorhguoparhgeruiphgjrghtuib;gjkrhaguier;bgjr;hger[hguioerhguor;aeghhgmil;dvhkcmsekcgnujnvmirsdp;  ghrdukwl;grjiod;gjiro;esghtuiosh;god sucks.,clean,keyboard gibberish,clean,,False
e0cd4c02d368d8d6,lex/none,toxic+obscene,,True,0,0.9998305287833114,0.0435780927944228,0.9993730733825508,0.0168437830418384,0.2954049020217726,0.0200693766867585,::Will should use socks. Fuck ArbCom.,borderline,profanity at institution,borderline,,False
