id,split
00054a5e18b50dd4,calib
000eefc67a2c930f,calib
0033b9d5ccd499fb,calib
0037fe4f8f5cdcfb,calib
005b214511a69b4b,calib
006a4e493b506d1e,calib
006de7a80921e04b,calib
00a66540b2a66bb4,calib
00ad06b94e4aafd2,calib
00bf0cb1048b5212,calib
00c3bd1c292370e8,calib
00c5213d8f396507,calib
00d429d337eaa672,calib
00dda32b016cec96,calib
00eb6533c271bc85,calib
00f0efc07027e927,calib
011813b36dadcbe1,calib
01240081236cbbea,calib
014bb932bd289352,calib
01548aa392752378,calib
015bf1bda7ab6b9c,calib
016c95d317969274,calib
017353e61ad1afa4,calib
01a2ff35fecb4f50,calib
01ae22088f9485c1,calib
01c5b540f3fcfbff,calib
01f0e7889fca1088,calib
02066a519739a3a7,calib
0208b4188a9b0bd9,calib
020baf1598972ea6,calib
02443ae134f82946,calib
02623e1cfaf5497c,calib
0268b8c4bb135601,calib
0287b3fadf645c37,calib
028afe98392a33ef,calib
02c644a650c7d8e5,calib
02e37cf58b76b305,calib
031f877a3fd8fc27,calib
033803543ee6757a,calib
034beefa865b5381,calib
035bd3aeb4083093,calib
03a0e6449ff06683,calib
03c227c10a016963,calib
03c6ce7dd273a537,calib
03d013df0ab0a54b,calib
04244108a528db67,calib
049080f6792473a4,calib
04f6b32c1aa96721,calib
0512db238fec2eb7,calib
0524a25b9bcbdf39,calib
0524e84383b1da90,calib
0539f36907945292,calib
054270201da7b6c8,calib
0552d788c6c4695b,calib
0585d6205ff9162f,calib
05985809c0bb8566,calib
059abb552a0fa6d9,calib
05a40298dce0b983,calib
05ac38c1c207ea36,calib
05bde2e257e74eca,calib
05e7f830a1eb0a13,calib
05fe5959d032aef6,calib
06121ad58a48dd42,calib
06136e1ab96abfda,calib
0617a8b319fde352,calib
061ef06fdae32466,calib
0620b30626c629a3,calib
062ad2f103aa9bf8,calib
0639972a11e762b7,calib
065bdcb4abfe7445,calib
0678a7fbe73a8284,calib
06851860439bc73c,calib
0689570da4c4c09f,calib
068e14faad3180b8,calib
069d012ef2b99e79,calib
06aef84f95a4f0c0,calib
06cc5aa8dcee72e8,calib
06f0b97018548ab9,calib
07113b8604b314e1,calib
0724e32b2313b5c7,calib
075ce7d44411e398,calib
075d5a4bf446934e,calib
079ab53377be35f8,calib
07feaacf025fce79,calib
080d0c77d6af9b03,calib
080efc3279ac4bb4,calib
0815f41603fdfeb1,calib
0826cbfdb6c2db17,calib
0876f7a9abcee83f,calib
08a329a9b4b214df,calib
08b7ca30a84a522b,calib
08c2a113354ec432,calib
08d7762021da79cc,calib
08f484a8ca148096,calib
08ff12e57af713d8,calib
0901a2ff29904fb3,calib
093db5947e98c6e4,calib
096f2762ac08cf6b,calib
09819be9d13018bd,calib
